acc_x_t0.25,acc_x_t0.5,acc_x_t0.75,acc_x_t1.0,acc_y_t0.25,acc_y_t0.5,acc_y_t0.75,acc_y_t1.0,acc_z_t0.25,acc_z_t0.5,acc_z_t0.75,acc_z_t1.0,gyro_x_t0.25,gyro_x_t0.5,gyro_x_t0.75,gyro_x_t1.0,gyro_y_t0.25,gyro_y_t0.5,gyro_y_t0.75,gyro_y_t1.0,gyro_z_t0.25,gyro_z_t0.5,gyro_z_t0.75,gyro_z_t1.0,flex_t0.25,flex_t0.5,flex_t0.75,flex_t1.0,label
3.74513,3.725378,3.525462,3.890578,-3.999514,-3.81935,-4.058172,-4.309563,8.126519,8.309675,8.292916,8.010401,-9.740854,0.4344512,-1.105183,4.466464,-4.740854,-0.1295732,13.64329,-6.394817,7.416159,0.1981707,-11.50152,2.240854,0.0,0.0,0.0,0.0,left
4.102465,4.071939,3.46441,3.332729,-3.644573,-3.627814,-3.618237,-1.489193,8.197148,8.191162,8.38629,9.484032,1.875,-0.3658537,-4.992378,4.070122,-0.6478659,0.3887195,7.911585,-1.707317,-1.196646,0.7088415,-2.179878,-6.928354,0.0,0.0,0.0,0.0,left
3.91452,3.94744,4.008492,3.971981,-3.600879,-3.620631,-5.060145,-3.341707,8.30369,8.237251,7.683592,8.381501,-2.057927,-3.178354,9.496951,11.08232,-0.6935976,-0.5868903,27.47713,-13.75,0.5030488,-0.2820122,-26.75305,25.14482,0.0,0.0,0.0,0.0,left
4.055179,4.098873,4.070742,3.694253,-3.766678,-3.814562,-3.832518,-5.688623,8.179192,8.127118,8.163031,7.599795,0.9603659,-0.5792683,6.501524,14.41311,0.5868903,-1.364329,6.120427,13.41463,0.2743902,0.2210366,0.152439,-8.307927,0.0,0.0,0.0,0.0,left
3.983353,4.046201,3.58412,3.706823,-3.711611,-3.632602,-4.129399,-3.095703,8.198944,8.239047,8.161235,8.602965,2.240854,-1.471037,5.266768,9.344512,0.617378,-0.6478659,11.98933,-7.172256,-0.0152439,0.3734756,3.216464,25.58689,0.0,0.0,0.0,0.0,left
3.816956,3.744531,3.572149,3.982156,-3.433884,-3.174711,-3.612252,-5.272032,8.418014,8.509591,8.490438,7.727286,5.289634,10.99848,5.060976,-8.193598,2.035061,5.54878,-1.32622,-0.7469512,-1.112805,-6.928354,11.53201,-1.112805,0.0,0.0,0.0,0.0,left
3.278859,-1.219247,-8.921992,-8.895058,-3.339911,-1.199495,-0.6697779,-3.857657,9.150639,7.299323,3.45603,1.884835,-6.051829,19.16921,7.454268,-27.21799,11.11281,242.8277,53.34604,-2.195122,11.04421,96.02135,15.64787,10.67835,0.0,0.0,0.0,0.0,left
-8.314464,-8.65863,-7.709928,-8.616732,-2.032677,-1.714248,-3.45603,-0.889446,4.648343,3.755305,4.037821,4.191648,0.3277439,-2.294207,-3.246951,-18.45274,0.2439024,-3.47561,-0.8079268,-1.280488,2.477134,-1.714939,37.96494,5.464939,0.0,0.0,0.0,0.0,left
-8.200739,-8.634089,-8.242638,-8.505402,-2.213439,-1.495179,-1.643619,-3.062184,4.198831,3.66253,4.645948,5.084686,3.612805,-2.614329,0.8536586,2.987805,3.871951,-1.844512,7.126524,-11.12805,0.9908537,3.47561,0.152439,9.496951,0.0,0.0,0.0,0.0,left
-8.315063,-8.280945,-8.72507,-8.130111,-0.9223662,-1.136647,-2.185906,-1.920748,4.703409,4.832098,3.976769,4.727351,7.591464,-2.835366,0.8460366,-15.09146,-2.141768,-1.051829,-3.346037,3.071646,-1.196646,-3.658537,0.4801829,2.484756,0.0,0.0,0.0,0.0,left
3.478177,3.485958,2.858677,3.888184,-5.218761,-5.061941,-4.308965,-5.560534,7.5561,7.678803,8.442554,7.420229,1.394817,3.4375,-2.400915,10.64787,-0.7698171,-0.1143293,1.882622,-2.995427,-0.2362805,-1.257622,-11.06707,14.7561,0.0,0.0,0.0,0.0,left
-8.376713,-8.215105,-8.486248,-8.129512,-2.510919,-2.715025,-1.445499,-2.524087,3.843292,4.135983,5.319318,4.402937,-4.542683,-18.94817,-14.78659,-10.06098,-3.071646,-10.61738,0.3658537,4.001524,0.5259147,5.86128,6.051829,13.64329,0.0,0.0,0.0,0.0,left
3.481768,3.339313,3.434482,3.527258,-4.575918,-4.635174,-4.014478,-3.232172,8.033145,8.063671,8.343793,8.625112,0.2134146,11.17378,9.618902,7.553354,-0.0304878,19.61128,-9.862805,-0.8765244,-0.2972561,-24.23781,18.01067,4.275915,0.0,0.0,0.0,0.0,left
-8.002619,-7.845799,-7.549517,-7.867945,-1.707066,-1.875258,-2.929306,-2.469619,5.17806,5.381567,5.737704,4.103662,-1.722561,-0.8384147,-1.432927,-23.84909,-1.036585,-1.509146,-0.632622,-1.882622,4.359756,2.202744,-0.5259147,-5.617378,0.0,0.0,0.0,0.0,left
3.547608,3.583521,3.755904,3.617639,-4.902727,-4.692037,-4.777031,-5.48751,7.779958,7.881114,7.8865,7.466917,1.318598,-2.896342,9.108232,27.22561,0.1448171,-0.4420732,4.435976,0.472561,-1.364329,-0.6554878,-5.3125,-1.615854,26.13721,0.0,0.0,34.05928,left
3.370437,3.429694,3.330335,3.634398,-4.503493,-4.440047,-4.705803,-4.27784,8.086416,8.104971,8.259995,8.133701,0.9070122,-1.143293,0.9375,-3.39939,-0.1676829,-0.0304878,-8.452744,0.0304878,-0.6097561,0.2439024,14.94665,-4.679878,0.0,0.0,0.0,0.0,right
3.773262,3.670311,3.74094,3.402161,-4.482544,-4.470573,-4.955997,-4.510077,7.94037,7.983466,7.702745,8.052897,-0.9527439,1.768293,-5.762195,-9.397866,-0.02286585,-0.7088415,-6.577744,-2.256098,0.4496952,-1.722561,-9.954268,5.617378,0.0,0.0,0.0,0.0,right
3.6751,3.659537,3.74513,3.688268,-4.35206,-4.38498,-4.376601,-4.581903,8.049905,8.033145,8.06427,7.827842,-1.52439,0.2896341,-5.815549,-2.964939,-0.4344512,-0.2820122,6.676829,-6.974085,0.2134146,0.1981707,-8.910061,10.03049,0.0,0.0,0.0,0.0,right
3.761291,3.791817,3.750517,3.760692,-4.690241,-4.685453,-3.276465,-4.026449,7.806294,7.813477,8.765172,8.277354,-1.897866,-0.8307927,-6.371952,-10.56402,-0.6631098,-0.1753049,1.532012,6.440549,-0.472561,0.2057927,-0.5030488,-7.507622,0.0,0.0,0.0,0.0,right
3.156755,3.535039,3.130419,3.78224,-4.412514,-3.954024,-2.16376,-4.408922,6.938396,7.918822,8.885481,8.28334,-0.7088415,3.574695,11.40244,-6.280488,0.2439024,0.464939,10.19055,4.489329,-5.3125,-4.519817,-24.61128,-13.66616,0.0,0.0,0.0,0.0,right
2.893393,2.999336,2.869451,3.225588,-3.829526,-3.680487,-3.73256,-3.94325,8.274361,8.655039,7.7626,7.958925,-0.1371951,-0.5030488,-3.772866,-3.323171,10.35061,2.682927,7.157012,8.08689,-28.59756,-22.1875,-16.53201,-26.14329,0.0,5.35482,0.0,0.0,right
3.683479,3.706224,3.771466,3.769072,-4.596867,-5.428254,-5.713164,-6.030396,7.921815,7.321469,7.120955,6.858191,-5.327744,-12.35518,-7.865854,-10.35823,3.47561,10.43445,11.64634,12.69817,-3.574695,-12.70579,-14.32165,-15.08384,0.0,0.0,0.0,0.0,right
3.527856,3.391985,3.490746,3.304597,-5.189432,-4.658518,-4.499303,-3.696647,7.72968,7.669825,7.398682,8.455123,-5.282012,4.717988,-5.868903,-4.878049,7.667683,6.135671,3.955793,8.75,-12.75915,-13.3689,-15.51829,-11.58537,0.0,0.0,0.0,0.0,right
3.604471,3.630807,3.658939,3.557784,-5.470152,-5.931036,-4.83928,-5.747281,7.382521,6.985682,7.795521,7.074267,-4.832317,0.3429878,-10.99085,-8.727135,7.46189,-0.2743902,14.35976,12.40854,-9.352135,-1.669207,-18.8186,-16.17378,0.0,0.0,0.0,0.0,right
3.94325,3.890578,3.806781,3.855263,-5.118205,-5.812523,-5.94181,-5.510255,7.533954,6.540959,6.873753,7.15567,-5.66311,-13.42226,-6.402439,-7.400915,3.887195,12.62957,1.128049,6.83689,-3.978659,-15.37348,-4.047256,-7.797256,0.0,0.0,0.0,0.0,right
-8.352771,-8.423999,-7.16824,-8.604162,-1.224036,-1.243189,-3.372832,-2.073977,4.526238,4.501698,5.655703,3.330335,12.91159,18.04878,-3.551829,7.934452,8.559451,3.51372,5.381098,-0.1067073,-6.181403,-7.439024,1.112805,-14.23781,0.0,0.0,0.0,37.06426,right
-7.93199,-7.905056,-8.116942,-8.381501,-1.506551,-2.138022,-1.131859,-2.051831,4.897339,5.309741,5.407903,3.086725,11.01372,19.94665,1.471037,35.68598,-3.285061,1.859756,15.35823,-26.30335,1.989329,-7.606708,-26.0061,23.75,0.0,0.0,34.73763,0.0,right
-7.88231,-7.716512,-7.772776,-8.129512,-1.542464,-2.026093,-1.675343,-1.835156,5.550358,5.629367,5.629367,4.28203,1.173781,16.31098,14.62652,5.167683,4.29878,2.339939,4.146341,4.161585,-4.76372,-3.658537,-11.95122,-17.6372,0.0,0.0,0.0,0.0,right
-7.591415,-7.65965,-7.90745,-7.703942,-2.463634,-0.8224083,-1.079186,-3.356072,5.498883,6.181829,5.190629,5.410896,8.780488,2.362805,4.519817,19.03963,0.5259147,-0.5564024,14.64177,23.30031,1.356707,-6.135671,-18.125,-28.85671,0.0,0.0,0.0,0.0,right
-8.305486,-8.287529,-8.19236,-7.673417,-1.634043,-1.601721,-3.167529,-4.705803,4.028843,4.432266,4.126407,4.762666,12.51524,16.24238,9.420732,-5.243903,12.09604,11.57774,-1.425305,8.368902,-24.71799,-24.48933,-16.95122,-5.625,0.0,0.0,0.0,0.0,right
3.74094,3.687071,3.744531,3.578135,-5.781399,-5.535394,-6.1112,-5.722142,7.015011,7.223307,6.715137,7.158663,-12.27134,-3.818598,-4.939024,4.153964,15.79268,10.06098,7.644817,1.32622,-18.78811,-9.618902,-9.375,-0.625,0.0,0.0,0.0,0.0,right
3.731363,3.778649,4.011485,3.806182,-5.117008,-5.346851,-4.745906,-4.905121,7.551911,7.375937,7.723695,7.730877,0.1295732,-9.420732,-10.10671,-11.59299,-0.3125,-5.922256,9.695122,14.18445,-0.2057927,3.986281,-10.9375,-15.33537,0.9229813,0.0,0.0,0.0,right
3.858256,3.799598,4.188656,3.884592,-4.721366,-4.665102,-4.453814,-4.879982,7.741053,7.799711,7.988254,7.656657,1.714939,0.2286585,-0.6935976,-10.57165,1.844512,0.2439024,-9.146341,5.434452,0.2591463,-0.05335366,-0.6707317,-5.129573,0.0,74.87602,0.0,0.0,right
4.217985,4.176685,4.231153,4.228759,-5.439028,-5.440225,-5.422867,-5.407903,7.085042,7.08564,7.115568,7.054515,-1.402439,-0.2591463,2.088415,0.1295732,2.240854,-0.5945122,-0.2286585,-0.5259147,0.3353659,-0.2743902,-0.1981707,0.320122,0.0,0.0,0.0,0.0,right
3.552397,3.160945,3.020285,3.524265,-5.424663,-4.261679,-4.939238,-3.922301,8.076839,7.788338,7.82485,8.218696,-3.757622,-3.338415,-11.10518,-12.08842,25.51829,19.03201,14.45122,8.917684,-32.22561,-23.92531,-24.73323,-27.20275,0.0,0.0,0.0,0.0,right
4.010886,4.223372,3.819949,3.356671,-5.114015,-5.081095,-4.322133,-4.711789,7.419033,7.815273,7.741651,7.121553,-2.431402,-13.08689,10.0,-18.52896,-1.692073,10.83842,24.15396,38.14024,0.5030488,13.42226,-28.23933,-45.0,10.30402,0.0,0.0,0.0,right
-6.853402,-7.170634,-7.462128,-8.008006,-2.330157,-2.046444,-1.549049,-1.629254,6.715736,6.592434,5.389348,5.061342,-2.865854,0.05335366,17.34756,32.27134,-1.783537,3.239329,22.66768,5.571647,7.530488,2.675305,-11.42531,-14.0625,0.0,0.0,0.0,0.0,right
-7.088034,-6.941988,-7.470508,-7.751827,-2.864064,-3.205238,-1.980005,-0.7793127,5.807735,6.364387,5.331289,5.216966,-0.8917684,7.179878,33.10976,11.52439,-2.324695,4.275915,11.57774,3.810976,-0.160061,4.596037,4.496951,-30.89939,0.0,0.0,0.0,79.3457,right
-4.896741,-5.548563,-5.671864,-5.663484,-3.160346,-2.323573,-3.098097,-3.591303,7.779958,6.998251,6.505645,7.24665,2.050305,14.98476,9.054878,16.6997,18.51372,19.00152,11.82165,13.33079,-9.359756,-17.01982,-6.585366,-26.34909,0.0,36.76894,0.0,0.0,right
3.942053,3.979163,3.847482,3.891176,-5.123591,-5.009867,-6.200983,-5.222951,7.271789,7.527969,6.503251,7.354988,-2.256098,-3.407012,-8.422256,-8.628049,-4.352134,4.573171,4.580793,20.15244,-1.196646,-5.541159,-8.460366,-22.69055,0.0,0.0,0.0,0.0,right
3.429095,3.334524,4.340688,2.364274,-5.581483,-5.378574,-6.669647,-4.798579,7.593809,7.493851,10.24299,7.289147,1.463415,-0.2286585,4.428354,6.341464,-0.6402439,-2.233232,13.84146,5.762195,0.6935976,-1.303354,21.46342,11.50915,0.0,0.0,0.0,0.0,up
3.988142,4.006697,4.223372,3.587711,-5.019444,-4.956596,-5.170279,-5.468357,7.48188,7.513604,8.752005,7.351396,1.471037,0.1448171,-12.85823,5.990854,0.2286585,-0.5868903,-1.280488,4.359756,-0.2667683,-0.3963415,-0.5030488,11.95122,0.0,0.0,0.0,0.0,up
-8.3408,-8.893861,-9.438541,-9.024943,-1.175553,-0.8355764,-0.7038953,0.1807622,5.017648,4.064756,4.39336,3.310582,-1.52439,-0.1143293,0.5945122,0.04573171,2.469512,-2.545732,13.69665,13.54421,-1.166159,-0.3810976,14.17683,1.059451,0.0,0.0,0.0,0.0,up
4.077325,4.111443,4.332308,3.433884,-5.149329,-5.054759,-5.034408,-4.87639,7.348403,7.359776,9.091981,7.559093,0.2591463,-0.3810976,-22.53811,9.603659,-0.625,-0.3353659,4.748476,5.929878,-0.5945122,-0.464939,17.59146,16.37195,0.0,0.0,0.0,0.0,up
4.219182,4.781819,4.686051,3.604471,-4.744111,-5.943007,-7.021595,-4.724359,7.533356,8.407239,7.70095,7.360374,-4.13872,-39.41311,4.359756,12.83537,-0.7317073,-13.38415,3.780488,2.644817,0.6631098,11.66159,24.64939,4.009146,0.0,0.0,0.0,0.0,up
4.179079,4.182671,4.918888,4.209007,-4.072537,-4.157531,-4.957793,-3.372832,7.961319,7.923611,9.738416,7.624934,-0.7469512,-4.466464,12.40092,5.403964,-0.617378,-3.681402,-0.9908537,7.1875,-0.3734756,1.425305,9.115854,6.646342,36.8908,0.0,0.0,0.0,up
4.226963,4.242526,5.123591,4.523245,-4.265869,-4.313154,-4.646547,-3.985747,7.811083,7.778163,7.806893,7.709928,-0.3429878,-2.057927,9.900915,7.911585,-0.5259147,-1.493902,-14.90854,15.42683,-0.03810976,0.1295732,-7.370427,1.585366,0.0,0.0,0.0,0.0,up
3.855263,3.052607,2.487576,1.953669,-5.425261,-4.663905,-4.299388,-4.01328,8.362348,7.890092,8.161235,8.416218,8.003049,4.992378,3.948171,8.285061,10.71646,14.67988,20.12957,12.05793,2.42378,6.5625,8.490854,2.705793,0.0,0.0,0.0,0.0,up
2.298434,2.20506,1.879448,2.34931,-5.163096,-5.183447,-4.80217,-5.70658,7.669825,8.042124,7.674613,8.304887,6.204268,4.077744,-0.2667683,0.5564024,7.507622,8.666159,-2.012195,0.3125,7.637195,6.920732,3.330793,-3.109756,0.0,77.27015,0.0,0.0,up
4.644751,3.694253,3.535637,3.073556,-5.819107,-5.378574,-4.918888,-4.553771,9.85214,7.626729,7.825448,8.552687,20.64787,5.022866,8.696647,5.442073,9.230184,7.759147,12.46189,19.77134,6.379573,9.291159,4.382622,-7.408537,0.0,0.0,79.76978,0.0,up
3.830124,3.54701,3.360861,3.278859,-5.601833,-4.961983,-5.475539,-5.704185,7.483676,6.828263,7.33344,7.179014,6.829268,-2.065549,-4.153964,-2.8125,13.54421,0.07621951,10.81555,8.140244,-3.818598,-2.690549,4.435976,2.050305,54.63091,0.0,30.2611,0.0,up
4.089296,4.149151,4.032434,4.228759,-4.47596,-4.492121,-5.434838,-5.449801,7.7626,7.747637,7.594408,7.268796,-1.120427,-11.20427,-11.20427,-16.02896,-0.8536586,-10.28201,1.554878,10.04573,0.2210366,-4.085366,5.426829,3.132622,0.0,0.0,0.0,7.44326,up
4.429872,3.481768,3.476381,3.086725,-5.363012,-4.869208,-4.984129,-4.581903,8.990826,8.303091,8.496424,8.689157,3.025915,4.390244,4.245427,-1.653963,6.242378,3.894817,8.109756,10.60976,2.278964,0.9375,-0.7545732,-1.01372,0.0,67.89975,0.0,0.0,up
4.250307,4.203619,5.006874,4.104859,-4.626795,-4.537012,-5.3678,-5.490503,7.603985,7.637504,8.479664,7.887698,-0.5030488,-0.8384147,-2.553354,-6.882622,1.280488,-1.730183,9.443598,14.58842,0.8765244,0.2972561,2.873476,3.231707,0.0,0.0,0.0,0.0,up
4.26527,4.332308,6.15669,3.691859,-4.52145,-4.650737,-7.064691,-5.108628,7.632715,7.546524,10.51773,7.603386,-1.371951,-2.545732,-37.34756,-1.234756,-1.684451,-2.705793,48.15549,40.45732,0.7164635,1.440549,-41.08994,36.44055,0.0,0.0,0.0,25.06163,up
2.400187,0.9337386,0.05147533,-0.237026,-4.731541,-4.831499,-4.461595,-4.192846,7.9691,8.413225,8.559271,8.826224,-0.304878,7.492378,5.655488,-1.051829,11.33384,23.9939,11.41006,-4.474085,13.86433,11.29573,4.61128,5.693598,0.0,0.0,0.0,0.0,up
-8.805275,-9.882068,-8.845378,-8.78672,-0.5500679,-0.01316811,-0.4064157,-0.2088941,4.179677,4.207211,3.318364,2.776675,-2.42378,-17.97256,13.93293,2.339939,-0.0304878,-21.95122,8.483232,18.06402,1.295732,16.28049,7.080793,-2.591464,0.0,0.0,0.0,0.0,up
-8.774151,-8.774151,-9.331401,-9.289502,-1.974019,-0.04369418,-1.177349,-0.5309143,3.550601,4.978743,4.544794,2.498948,-1.516768,10.86128,6.539634,9.077744,-2.865854,-3.551829,21.68445,20.92988,5.411585,22.94207,4.131098,19.38262,0.0,0.0,25.00526,0.0,up
-8.726865,-9.657013,-9.444528,-9.314043,-0.001795651,0.3806781,-0.3393781,0.4004303,1.665766,2.621651,2.06021,2.506131,-3.932927,3.003049,3.262195,-8.993902,4.039634,-0.2743902,4.878049,-2.827744,1.989329,0.7698171,2.050305,-1.692073,0.0,0.0,0.0,44.30281,up
-8.781932,-9.0842,-9.935339,-8.531139,-1.00317,-1.067215,-1.581969,-1.120486,4.331709,3.54701,4.813542,2.012925,-3.353659,0.2134146,-2.431402,7.88872,2.713415,-2.903964,27.66768,17.28658,-3.498476,1.112805,10.28963,12.33232,0.0,0.0,57.26628,0.0,up
3.994725,4.016273,3.981557,5.188834,-4.724359,-4.701613,-4.705205,-5.725733,7.638102,7.667431,7.697359,11.02829,-2.416159,2.8125,-1.089939,-35.9375,-2.934451,0.6859756,-0.4039634,13.42226,1.242378,0.2439024,0.09908537,9.92378,0.0,0.0,0.0,0.0,up
4.179677,4.440646,5.129577,2.94008,-4.732738,-4.449025,-5.807735,-4.990714,7.583035,7.879318,9.378088,7.766192,-0.3887195,-2.477134,-11.31098,14.73323,-4.824695,-6.341464,32.05793,29.00915,-5.457317,-0.4801829,15.64024,19.76372,0.0,0.0,0.0,0.0,up
4.156334,4.147954,4.157531,4.15813,-4.743512,-4.737526,-4.735132,-5.431247,7.578846,7.562685,7.57705,7.923611,0.2896341,0.02286585,-0.3963415,6.021342,-0.1753049,-0.2057927,-0.8689024,-1.28811,-0.1981707,0.1143293,-0.945122,7.172256,0.0,0.0,0.0,0.0,up
4.214394,4.212598,4.683657,4.279635,-4.502895,-4.487931,-3.430891,-4.43047,7.705738,7.703344,8.421006,8.832211,-0.2362805,-0.06859756,-4.344512,-3.460366,-0.1067073,-0.320122,-29.70275,52.78963,0.08384147,0.0,-14.98476,28.4375,0.0,0.0,0.0,0.0,up
1.668759,0.504578,-1.316811,-2.967613,-3.591303,-5.288193,-4.897339,-4.045004,8.428188,8.011598,7.437588,7.491457,-8.917684,-9.969512,3.727134,14.22256,57.29421,45.96799,32.0503,10.45732,31.71494,10.54116,15.35823,4.626524,0.0,0.0,0.0,0.0,up
4.024055,4.392762,4.188057,3.494936,-4.805163,-5.08708,-4.489727,-4.706402,7.524377,8.078036,7.602787,7.948151,3.010671,-4.176829,-3.917683,-2.065549,-2.705793,0.8003049,-13.48323,2.240854,-4.153964,-2.858232,-7.439024,4.405488,0.0,0.0,0.0,0.0,down
1.814206,1.903989,1.657985,1.347337,-5.107431,-5.04997,-4.486734,-4.331709,8.230068,8.282741,8.463503,7.127539,-1.699695,-2.195122,-3.155488,-13.29268,-6.387195,-5.525915,-4.367378,5.564024,-3.704268,2.949695,-0.1829268,16.08232,0.0,0.0,0.0,0.0,down
0.9702502,2.290054,4.125209,4.289212,-5.529409,-3.363255,-4.246715,-4.308965,6.561908,10.10712,7.535151,7.268198,40.78506,-2.164634,6.905488,-4.839939,-54.67226,-60.1372,-14.97713,1.5625,23.02592,2.644817,-20.54878,-3.079268,0.0,0.0,0.0,0.0,down
1.186926,1.259949,1.450886,1.638232,-5.334281,-5.061342,-5.763442,-5.811326,8.000225,7.50283,7.438785,7.902661,-1.935976,-4.192073,-10.3125,23.06403,-5.266768,-13.62805,2.157012,12.88872,-4.314024,-0.785061,1.257622,-9.253049,0.0,0.0,0.0,0.0,down
0.8337808,0.5752069,2.32896,2.986168,-5.189432,-4.966173,-5.617994,-5.804143,8.158242,7.11437,8.74123,8.541913,0.4573171,0.1295732,-16.16616,0.8841463,2.355183,-4.397866,-36.26524,-5.70122,0.7393293,-1.425305,-9.359756,-2.096037,0.0,0.0,74.87602,0.0,down
-9.50139,-9.39784,-8.112753,-10.27831,0.7463923,0.8122329,1.087566,2.107496,1.952472,1.863886,1.711854,2.724602,-2.378049,1.455793,-9.405488,11.21951,1.958842,-1.135671,7.560976,15.67835,-0.1676829,0.3658537,-12.6372,10.92226,0.0,0.0,0.0,0.0,down
0.6739678,0.4836287,0.1238999,1.162385,-4.308366,-3.904943,-4.768053,-5.251681,8.979453,8.128315,7.855974,8.451532,-3.231707,-8.978659,-16.6311,-5.099085,1.882622,-1.753049,-25.59451,-10.32012,0.9984756,-1.265244,0.007621951,-8.650915,0.0,0.0,0.0,40.51825,down
1.854309,1.290475,0.4004303,2.337938,-5.455189,-5.273229,-4.50888,-6.855198,8.545505,8.38629,6.776189,11.1468,-3.536585,-5.23628,-19.18445,0.7698171,5.007622,8.574696,3.391768,-39.04726,-8.102135,5.442073,7.789634,-16.37195,0.0,0.0,0.0,0.0,down
1.778293,1.598728,1.737592,3.722385,-4.917092,-5.092467,-4.759673,-6.902483,8.348581,7.058705,6.813898,7.588422,-1.028963,-4.237805,-8.20122,-1.448171,0.2896341,-10.11433,-12.95732,-22.91159,-0.8003049,-2.820122,1.463415,-7.507622,0.0,0.0,0.0,0.0,down
-0.2723404,-0.3172317,-1.361702,0.6745663,-4.689642,-5.243302,-5.055357,-6.971317,8.088212,8.157045,7.578846,6.922235,0.8689024,-0.8841463,-5.358232,6.242378,1.425305,0.6021342,12.69817,9.45122,-2.46189,1.928354,6.021342,9.756098,0.0,0.0,0.0,0.0,down
2.475006,2.60968,2.269703,2.110489,-3.89357,-4.790798,-3.933673,-4.274249,7.887099,8.549096,7.319075,7.204751,0.6859756,-6.974085,-0.7545732,-26.04421,3.277439,-5.746952,-2.583842,-10.03811,3.422256,-2.195122,-1.394817,-13.53659,0.0,0.0,21.68263,0.0,down
2.100912,1.968632,1.644816,1.884237,-4.773439,-4.903325,-4.386776,-4.981735,8.39048,8.01459,7.854179,7.691373,-1.006098,-1.821646,-4.390244,-8.170732,0.4496952,1.417683,0.7545732,-10.30488,1.737805,-0.8612805,1.32622,-4.321646,38.84366,0.0,0.0,0.0,down
2.270302,1.974618,2.11827,2.074576,-5.211578,-5.199607,-5.119402,-4.64535,8.401853,8.315063,8.626907,8.957906,-3.422256,-3.041159,7.233232,3.185976,17.58384,-2.484756,-4.161585,2.370427,5.23628,-1.554878,3.300305,5.053354,0.0,0.0,0.0,0.0,down
